Juv. RKC OA Growth and Survival Exp. 2024- ROUND TWO!,,,,,,,,,,,,,,,,,,,,,,,,,,
Molting Date and wet weight data,,,,Start date:,2024-08-20 00:00:00,,,,,,,,,,,,,,,,,,,,,
7 days after molting carefully blot crab dry and weigh it. Record the date the crab molted (NOT date of wet weight),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Initial Mass,,,After 1st molt,,,After 2nd molt,,,After 3rd molt,,,After 4th molt,,,Date died,5th molt,,6th molt,,6th molt,,,
7,A-A,22,2024-08-22 00:00:00,0.0134,,2024-08-28 00:00:00,0.0218,,2024-11-01 00:00:00,0.0254,,,,,X,,,2024-12-16 00:00:00,,,,,,,,
7,A-A,23,2024-08-23 00:00:00,0.0064,,2024-09-19 00:00:00,0.0081,,2024-11-02 00:00:00,0.011,,2024-11-18 00:00:00,0.0125,,X,,,2024-12-16 00:00:00,,,,,,,,
7,A-A,24,2024-08-23 00:00:00,0.0091,,2024-09-17 00:00:00,0.0101,,2024-11-01 00:00:00,0.0125,,,,,X,,,2024-12-16 00:00:00,,,,,,,,
7,A-A,25,2024-08-23 00:00:00,0.0148,,2024-10-22 00:00:00,0.0236,,,,,,,,X,,,2024-12-16 00:00:00,,,,,,,,
7,A-A,26,2024-08-23 00:00:00,0.0073,,2024-09-25 00:00:00,missing,,,,,,,,X,,,10/2/24 missing,,,,,,,,
8,pH 7.85-A,4,2024-08-20 00:00:00,0.0086,,2024-09-03 00:00:00,0.0138,,2024-10-28 00:00:00,0.015,,2025-01-27 00:00:00,0.0218,,2025-04-04 00:00:00,0.0315,,,2025-05-30 00:00:00,0.0502,,,,,,
8,pH 7.85-A,5,2024-08-20 00:00:00,0.0076,,2024-09-21 00:00:00,,,2025-11-04 00:00:00,,,2024,,,X,,,2024-11-11 00:00:00,,,,,,,,
8,pH 7.85-A,6,2024-08-20 00:00:00,0.0115,holding onto a small piece of food,2024-09-03 00:00:00,0.187,,2024-10-13 00:00:00,0.0241,,2025-02-11 00:00:00,0.0288,,2025-05-01 00:00:00,0.0445,,,,,,,,,,
8,pH 7.85-A,7,2024-08-20 00:00:00,0.0131,,2024-09-13 00:00:00,0.0156,,2024-11-15 00:00:00,0.0194,,2025-03-24 00:00:00,0.0274,,2025-05-14 00:00:00,,,,,,,,,,,
8,pH 7.85-A,8,2024-08-21 00:00:00,0.0044,,,,,X,,,X,,,X,,,2024-10-20 00:00:00,,,,,,,,
8,pH 7.85-A,9,2024-08-21 00:00:00,0.0127,,2024-09-05 00:00:00,0.0182,,2024-10-25 00:00:00,0.0234,,2025-01-26 00:00:00,0.0344,,2025-04-29 00:00:00,0.0438,,,,,,,,,,
8,pH 7.85-A,10,2024-08-21 00:00:00,0.0099,,2024-09-19 00:00:00,0.0125,,2025-03-10 00:00:00,0.0188,,,,,X,,,2025-05-19 00:00:00,,,,,,,,
8,pH 7.85-A,11,2024-08-21 00:00:00,0.0116,,2024-09-29 00:00:00,0.0132,,2024-11-28 00:00:00,0.0145,,X,,,X,,,2024-12-11 00:00:00,,,,,,,,
8,pH 7.85-A,20,2024-08-22 00:00:00,0.0064,,2024-10-02 00:00:00,0.0072,,2024-11-25 00:00:00,0.0113,,2025-01-17 00:00:00,0.0103,died,X,,,2025-04-11 00:00:00,,,,,,,,
8,pH 7.85-A,21,2024-08-22 00:00:00,0.0088,,2024-09-20 00:00:00,0.0095,,2024-11-11 00:00:00,0.0149,,2025-02-21 00:00:00,0.0139,,2025-04-29 00:00:00,0.0219,,,,,,,,,,
8,pH 7.85-A,22,2024-08-22 00:00:00,0.0109,,2024-08-26 00:00:00,0.0178,,2024-10-07 00:00:00,0.0221,,X,,,X,,,2024-10-23 00:00:00,,,,,,,,
8,pH 7.85-A,23,2024-08-23 00:00:00,0.0095,,2024-09-16 00:00:00,0.0109,,2025-02-19 00:00:00,0.0194,,2025-04-24 00:00:00,,,2025-06-12 00:00:00,0.0464,,,,,,,,,,
8,pH 7.85-A,24,2024-08-23 00:00:00,0.0078,,2024-09-17 00:00:00,0.0104,,2024-11-10 00:00:00,0.0224,,2025-04-08 00:00:00,,,,,,,,,,,,,,
8,pH 7.85-A,25,2024-08-23 00:00:00,0.0107,,2024-09-09 00:00:00,0.0141,,2024-10-30 00:00:00,,,2024-11-25 00:00:00,0.0142,,X,,,2024-12-06 00:00:00,,,,,,,,
8,pH 7.85-A,26,2024-08-23 00:00:00,0.0063,,2024-09-16 00:00:00,0.0101,,2024-10-30 00:00:00,0.0234,,2025-01-16 00:00:00,0.0195,,2025-04-03 00:00:00,0.025,,,2025-06-03 00:00:00,0.0381,,,,,,
